担当MG,人数,平均投稿数
ちな,1,66.0
ゆーき,2,39.0
須見浩人　⇨ひろと,1,38.0
めぐみ,4,34.0
ととのえ,2,31.5
やつ,7,31.3
なつみ,2,29.0
MGおぐま,13,28.6
ゆり（はしもと）,31,26.2
ちか,9,21.4
もも,2,19.5
なお,14,19.3
みく,5,14.2
りな,4,13.5
あきえ,2,8.5
なおみ,1,0.0
