threshold,label,count,pct,miss
60,60投稿（コミット基準・半年目安）,6,26.1,17
80,80投稿,3,13.0,20
100,100投稿（新・半年目標）,2,8.7,21
120,120投稿（理想・コミットプラン）,1,4.3,22
