プログラム,コース,分母,完了人数,完了率%,30日以内達成,30日以内達成率%
新,全体,38,3,7.9,2,5.3
新,講座_ベーシックコース,31,1,3.2,0,0.0
新,講座_特進コース,7,2,28.6,2,28.6
新,講座_プレミアムプラスコース,0,0,0.0,0,0.0
新,"講座_プレミアムプラスコース, 講座_コミットコース",0,0,0.0,0,0.0
新,"講座_特進コース, 講座_ベーシックコース",0,0,0.0,0,0.0
